Hour,Solar PV Generation (MW),Solar PV Curtailment (MW),Wind Generation (MW),Wind Curtailment (MW),Gas CC Generation (MW),Power from Storage and Gas CC to Storage (MW)
328,0.0,0.0,0.0,0.0,30758.742,3873.6539999999986
329,0.0,0.0,0.0,0.0,30758.742,3636.7980000000007
330,0.0,0.0,0.0,0.0,30758.742,1948.8108
331,0.0,0.0,0.0,0.0,30758.742,1816.4317
332,0.0,0.0,0.0,0.0,30758.742,2356.4011
333,0.0,0.0,0.0,0.0,30758.742,2989.9829999999965
334,0.0,0.0,0.0,0.0,30758.742,4442.997000000001
335,0.0,0.0,0.0,0.0,30758.742,6634.525
336,0.0,0.0,0.0,0.0,30758.742,8894.642000000007
337,0.0,0.0,0.0,0.0,30758.742,10464.229
338,0.0,0.0,0.0,0.0,30758.742,11160.565000000002
339,0.0,0.0,0.0,0.0,30758.742,11735.167999999998
340,0.0,0.0,0.0,0.0,30758.742,11903.784
341,0.0,0.0,0.0,0.0,30758.742,11295.103000000003
342,0.0,0.0,0.0,0.0,30758.742,9843.131000000001
343,0.0,0.0,0.0,0.0,30758.742,6895.2033
344,0.0,0.0,0.0,0.0,30758.742,5225.411999999998
345,0.0,0.0,0.0,0.0,30758.742,4400.754000000001
346,0.0,0.0,0.0,0.0,30758.742,4272.423000000001
347,0.0,0.0,0.0,0.0,30758.742,4245.4457
348,0.0,0.0,0.0,0.0,30758.742,4528.628000000001
349,0.0,0.0,0.0,0.0,30758.742,4373.886
350,0.0,0.0,0.0,0.0,30758.742,3848.733000000002
351,0.0,0.0,0.0,0.0,30758.742,4291.463
352,0.0,0.0,0.0,0.0,30758.742,4125.152
353,0.0,0.0,0.0,0.0,30758.742,3532.7379999999994
354,0.0,0.0,0.0,0.0,30758.742,2103.4704999999994
355,0.0,0.0,0.0,0.0,30758.742,1855.4388
356,0.0,0.0,0.0,0.0,30758.742,2539.0002999999997
357,0.0,0.0,0.0,0.0,30758.742,3419.691999999999
358,0.0,0.0,0.0,0.0,30758.742,4932.423999999999
359,0.0,0.0,0.0,0.0,30758.742,7019.2677
360,0.0,0.0,0.0,0.0,30758.742,8740.148000000001
361,0.0,0.0,0.0,0.0,30758.742,10053.028000000006
362,0.0,0.0,0.0,0.0,30758.742,11143.792000000001
363,0.0,0.0,0.0,0.0,30758.742,11749.288
364,0.0,0.0,0.0,0.0,30758.742,11975.892000000007
365,0.0,0.0,0.0,0.0,30758.742,11652.602999999996
366,0.0,0.0,0.0,0.0,30758.742,10131.614000000001
367,0.0,0.0,0.0,0.0,30758.742,7302.1884
368,0.0,0.0,0.0,0.0,30758.742,5604.809999999998
369,0.0,0.0,0.0,0.0,30758.742,4947.476000000002
370,0.0,0.0,0.0,0.0,30758.742,5232.764000000003
371,0.0,0.0,0.0,0.0,30758.742,5200.5162
372,0.0,0.0,0.0,0.0,30758.742,5121.671999999999
373,0.0,0.0,0.0,0.0,30758.742,5023.5639999999985
374,0.0,0.0,0.0,0.0,30758.742,4656.2504
375,0.0,0.0,0.0,0.0,30758.742,4542.758999999998
376,0.0,0.0,0.0,0.0,30758.742,4624.0933
377,0.0,0.0,0.0,0.0,30758.742,4230.710000000003
378,0.0,0.0,0.0,0.0,30758.742,2618.6990000000005
379,0.0,0.0,0.0,0.0,30758.742,2434.7674000000006
380,0.0,0.0,0.0,0.0,30758.742,2918.7610000000004
381,0.0,0.0,0.0,0.0,30758.742,3636.2597
382,0.0,0.0,0.0,0.0,30758.742,5072.369999999999
383,0.0,0.0,0.0,0.0,30758.742,7291.290000000001
384,0.0,0.0,0.0,0.0,30758.742,9440.350999999995
385,0.0,0.0,0.0,0.0,30758.742,10533.691999999995
386,0.0,0.0,0.0,0.0,30758.742,11516.457999999999
387,0.0,0.0,0.0,0.0,30758.742,12128.315999999999
388,0.0,0.0,0.0,0.0,30758.742,12238.649999999994
389,0.0,0.0,0.0,0.0,30758.742,11671.931000000004
390,0.0,0.0,0.0,0.0,30758.742,10151.354
391,0.0,0.0,0.0,0.0,30758.742,7515.274999999998
392,0.0,0.0,0.0,0.0,30758.742,5588.5819999999985
393,0.0,0.0,0.0,0.0,30758.742,4832.149000000001
394,0.0,0.0,0.0,0.0,30758.742,4470.5105
395,0.0,0.0,0.0,0.0,30758.742,4346.873
396,0.0,0.0,0.0,0.0,30758.742,4580.669000000002
397,0.0,0.0,0.0,0.0,30758.742,4770.640000000003
398,0.0,0.0,0.0,0.0,30758.742,4935.1083
399,0.0,0.0,0.0,0.0,30758.742,4898.0676
400,0.0,0.0,0.0,0.0,30758.742,4781.673999999999
401,0.0,0.0,0.0,0.0,30758.742,4526.6770000000015
402,0.0,0.0,0.0,0.0,30758.742,2870.354000000001
403,0.0,0.0,0.0,0.0,30758.742,2809.276
404,0.0,0.0,0.0,0.0,30758.742,3095.258
